"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"47 years"	"47"	"Single"	"1"	"29 weeks"	"29"	4
	"47 years"	"47"	"Single"	"1"	"30 weeks"	"30"	3
	"47 years"	"47"	"Single"	"1"	"31 weeks"	"31"	8
	"47 years"	"47"	"Single"	"1"	"32 weeks"	"32"	5
	"47 years"	"47"	"Single"	"1"	"33 weeks"	"33"	14
	"47 years"	"47"	"Single"	"1"	"34 weeks"	"34"	25
	"47 years"	"47"	"Single"	"1"	"35 weeks"	"35"	34
	"47 years"	"47"	"Single"	"1"	"36 weeks"	"36"	79
	"47 years"	"47"	"Single"	"1"	"37 weeks"	"37"	161
	"47 years"	"47"	"Single"	"1"	"38 weeks"	"38"	180
	"47 years"	"47"	"Single"	"1"	"39 weeks"	"39"	266
	"47 years"	"47"	"Single"	"1"	"40 weeks"	"40"	105
	"47 years"	"47"	"Single"	"1"	"41 weeks"	"41"	35
	"47 years"	"47"	"Single"	"1"	"42 weeks"	"42"	28
	"47 years"	"47"	"Single"	"1"	"43 weeks"	"43"	12
	"47 years"	"47"	"Single"	"1"	"44 weeks"	"44"	3
	"47 years"	"47"	"Single"	"1"	"45 weeks"	"45"	4
	"47 years"	"47"	"Single"	"1"	"46 weeks"	"46"	5
	"47 years"	"47"	"Single"	"1"	"47 weeks"	"47"	3
	"47 years"	"47"	"Single"	"1"	"Unknown or Not Stated"	"99"	1
	"47 years"	"47"	"Twin"	"2"	"24 weeks"	"24"	4
	"47 years"	"47"	"Twin"	"2"	"26 weeks"	"26"	4
	"47 years"	"47"	"Twin"	"2"	"28 weeks"	"28"	2
	"47 years"	"47"	"Twin"	"2"	"29 weeks"	"29"	6
	"47 years"	"47"	"Twin"	"2"	"30 weeks"	"30"	4
	"47 years"	"47"	"Twin"	"2"	"31 weeks"	"31"	6
	"47 years"	"47"	"Twin"	"2"	"32 weeks"	"32"	6
	"47 years"	"47"	"Twin"	"2"	"33 weeks"	"33"	4
	"47 years"	"47"	"Twin"	"2"	"34 weeks"	"34"	25
	"47 years"	"47"	"Twin"	"2"	"35 weeks"	"35"	14
	"47 years"	"47"	"Twin"	"2"	"36 weeks"	"36"	8
	"47 years"	"47"	"Twin"	"2"	"37 weeks"	"37"	21
	"47 years"	"47"	"Twin"	"2"	"38 weeks"	"38"	14
	"47 years"	"47"	"Twin"	"2"	"39 weeks"	"39"	2
	"47 years"	"47"	"Twin"	"2"	"40 weeks"	"40"	4
	"47 years"	"47"	"Twin"	"2"	"47 weeks"	"47"	2
	"47 years"	"47"	"Triplet"	"3"	"31 weeks"	"31"	3
	"48 years"	"48"	"Single"	"1"	"23 weeks"	"23"	1
	"48 years"	"48"	"Single"	"1"	"25 weeks"	"25"	2
	"48 years"	"48"	"Single"	"1"	"26 weeks"	"26"	3
	"48 years"	"48"	"Single"	"1"	"28 weeks"	"28"	1
	"48 years"	"48"	"Single"	"1"	"30 weeks"	"30"	2
	"48 years"	"48"	"Single"	"1"	"31 weeks"	"31"	3
	"48 years"	"48"	"Single"	"1"	"32 weeks"	"32"	10
	"48 years"	"48"	"Single"	"1"	"33 weeks"	"33"	11
	"48 years"	"48"	"Single"	"1"	"34 weeks"	"34"	26
	"48 years"	"48"	"Single"	"1"	"35 weeks"	"35"	22
	"48 years"	"48"	"Single"	"1"	"36 weeks"	"36"	51
	"48 years"	"48"	"Single"	"1"	"37 weeks"	"37"	95
	"48 years"	"48"	"Single"	"1"	"38 weeks"	"38"	116
	"48 years"	"48"	"Single"	"1"	"39 weeks"	"39"	182
	"48 years"	"48"	"Single"	"1"	"40 weeks"	"40"	67
	"48 years"	"48"	"Single"	"1"	"41 weeks"	"41"	30
	"48 years"	"48"	"Single"	"1"	"42 weeks"	"42"	14
	"48 years"	"48"	"Single"	"1"	"43 weeks"	"43"	6
	"48 years"	"48"	"Single"	"1"	"44 weeks"	"44"	5
	"48 years"	"48"	"Single"	"1"	"45 weeks"	"45"	3
	"48 years"	"48"	"Single"	"1"	"46 weeks"	"46"	1
	"48 years"	"48"	"Twin"	"2"	"27 weeks"	"27"	2
	"48 years"	"48"	"Twin"	"2"	"28 weeks"	"28"	2
	"48 years"	"48"	"Twin"	"2"	"29 weeks"	"29"	2
	"48 years"	"48"	"Twin"	"2"	"31 weeks"	"31"	2
	"48 years"	"48"	"Twin"	"2"	"32 weeks"	"32"	4
	"48 years"	"48"	"Twin"	"2"	"33 weeks"	"33"	6
	"48 years"	"48"	"Twin"	"2"	"34 weeks"	"34"	12
	"48 years"	"48"	"Twin"	"2"	"35 weeks"	"35"	12
	"48 years"	"48"	"Twin"	"2"	"36 weeks"	"36"	22
	"48 years"	"48"	"Twin"	"2"	"37 weeks"	"37"	10
	"48 years"	"48"	"Twin"	"2"	"38 weeks"	"38"	8
	"48 years"	"48"	"Twin"	"2"	"39 weeks"	"39"	2
	"48 years"	"48"	"Twin"	"2"	"40 weeks"	"40"	4
	"48 years"	"48"	"Twin"	"2"	"42 weeks"	"42"	2
	"48 years"	"48"	"Triplet"	"3"	"29 weeks"	"29"	1
	"48 years"	"48"	"Triplet"	"3"	"31 weeks"	"31"	3
	"48 years"	"48"	"Triplet"	"3"	"34 weeks"	"34"	2
	"49 years"	"49"	"Single"	"1"	"23 weeks"	"23"	1
	"49 years"	"49"	"Single"	"1"	"25 weeks"	"25"	1
	"49 years"	"49"	"Single"	"1"	"27 weeks"	"27"	1
	"49 years"	"49"	"Single"	"1"	"28 weeks"	"28"	3
	"49 years"	"49"	"Single"	"1"	"29 weeks"	"29"	1
	"49 years"	"49"	"Single"	"1"	"30 weeks"	"30"	5
	"49 years"	"49"	"Single"	"1"	"31 weeks"	"31"	5
	"49 years"	"49"	"Single"	"1"	"32 weeks"	"32"	1
	"49 years"	"49"	"Single"	"1"	"33 weeks"	"33"	6
	"49 years"	"49"	"Single"	"1"	"34 weeks"	"34"	11
	"49 years"	"49"	"Single"	"1"	"35 weeks"	"35"	19
	"49 years"	"49"	"Single"	"1"	"36 weeks"	"36"	41
	"49 years"	"49"	"Single"	"1"	"37 weeks"	"37"	60
	"49 years"	"49"	"Single"	"1"	"38 weeks"	"38"	73
	"49 years"	"49"	"Single"	"1"	"39 weeks"	"39"	125
	"49 years"	"49"	"Single"	"1"	"40 weeks"	"40"	42
	"49 years"	"49"	"Single"	"1"	"41 weeks"	"41"	15
	"49 years"	"49"	"Single"	"1"	"42 weeks"	"42"	9
	"49 years"	"49"	"Single"	"1"	"43 weeks"	"43"	5
	"49 years"	"49"	"Single"	"1"	"44 weeks"	"44"	2
	"49 years"	"49"	"Single"	"1"	"45 weeks"	"45"	2
	"49 years"	"49"	"Single"	"1"	"Unknown or Not Stated"	"99"	1
	"49 years"	"49"	"Twin"	"2"	"27 weeks"	"27"	2
	"49 years"	"49"	"Twin"	"2"	"28 weeks"	"28"	2
	"49 years"	"49"	"Twin"	"2"	"30 weeks"	"30"	4
	"49 years"	"49"	"Twin"	"2"	"32 weeks"	"32"	2
	"49 years"	"49"	"Twin"	"2"	"33 weeks"	"33"	6
	"49 years"	"49"	"Twin"	"2"	"34 weeks"	"34"	12
	"49 years"	"49"	"Twin"	"2"	"35 weeks"	"35"	10
	"49 years"	"49"	"Twin"	"2"	"36 weeks"	"36"	10
	"49 years"	"49"	"Twin"	"2"	"37 weeks"	"37"	12
	"49 years"	"49"	"Twin"	"2"	"38 weeks"	"38"	2
	"49 years"	"49"	"Twin"	"2"	"42 weeks"	"42"	2
	"49 years"	"49"	"Triplet"	"3"	"27 weeks"	"27"	2
	"49 years"	"49"	"Triplet"	"3"	"32 weeks"	"32"	3
	"49 years"	"49"	"Triplet"	"3"	"38 weeks"	"38"	1
	"50 years and over"	"50+"	"Single"	"1"	"20 weeks"	"20"	1
	"50 years and over"	"50+"	"Single"	"1"	"21 weeks"	"21"	2
	"50 years and over"	"50+"	"Single"	"1"	"22 weeks"	"22"	1
	"50 years and over"	"50+"	"Single"	"1"	"23 weeks"	"23"	1
	"50 years and over"	"50+"	"Single"	"1"	"25 weeks"	"25"	3
	"50 years and over"	"50+"	"Single"	"1"	"26 weeks"	"26"	2
	"50 years and over"	"50+"	"Single"	"1"	"27 weeks"	"27"	1
	"50 years and over"	"50+"	"Single"	"1"	"28 weeks"	"28"	4
	"50 years and over"	"50+"	"Single"	"1"	"29 weeks"	"29"	3
	"50 years and over"	"50+"	"Single"	"1"	"30 weeks"	"30"	1
	"50 years and over"	"50+"	"Single"	"1"	"31 weeks"	"31"	8
	"50 years and over"	"50+"	"Single"	"1"	"32 weeks"	"32"	10
	"50 years and over"	"50+"	"Single"	"1"	"33 weeks"	"33"	10
	"50 years and over"	"50+"	"Single"	"1"	"34 weeks"	"34"	27
	"50 years and over"	"50+"	"Single"	"1"	"35 weeks"	"35"	45
	"50 years and over"	"50+"	"Single"	"1"	"36 weeks"	"36"	71
	"50 years and over"	"50+"	"Single"	"1"	"37 weeks"	"37"	127
	"50 years and over"	"50+"	"Single"	"1"	"38 weeks"	"38"	139
	"50 years and over"	"50+"	"Single"	"1"	"39 weeks"	"39"	201
	"50 years and over"	"50+"	"Single"	"1"	"40 weeks"	"40"	89
	"50 years and over"	"50+"	"Single"	"1"	"41 weeks"	"41"	38
	"50 years and over"	"50+"	"Single"	"1"	"42 weeks"	"42"	14
	"50 years and over"	"50+"	"Single"	"1"	"43 weeks"	"43"	4
	"50 years and over"	"50+"	"Single"	"1"	"44 weeks"	"44"	8
	"50 years and over"	"50+"	"Single"	"1"	"45 weeks"	"45"	3
	"50 years and over"	"50+"	"Single"	"1"	"46 weeks"	"46"	1
	"50 years and over"	"50+"	"Single"	"1"	"47 weeks"	"47"	2
	"50 years and over"	"50+"	"Single"	"1"	"Unknown or Not Stated"	"99"	1
	"50 years and over"	"50+"	"Twin"	"2"	"19 weeks"	"19"	2
	"50 years and over"	"50+"	"Twin"	"2"	"24 weeks"	"24"	2
	"50 years and over"	"50+"	"Twin"	"2"	"25 weeks"	"25"	2
	"50 years and over"	"50+"	"Twin"	"2"	"28 weeks"	"28"	8
	"50 years and over"	"50+"	"Twin"	"2"	"29 weeks"	"29"	1
	"50 years and over"	"50+"	"Twin"	"2"	"30 weeks"	"30"	6
	"50 years and over"	"50+"	"Twin"	"2"	"31 weeks"	"31"	8
	"50 years and over"	"50+"	"Twin"	"2"	"32 weeks"	"32"	14
	"50 years and over"	"50+"	"Twin"	"2"	"33 weeks"	"33"	6
	"50 years and over"	"50+"	"Twin"	"2"	"34 weeks"	"34"	12
	"50 years and over"	"50+"	"Twin"	"2"	"35 weeks"	"35"	20
	"50 years and over"	"50+"	"Twin"	"2"	"36 weeks"	"36"	36
	"50 years and over"	"50+"	"Twin"	"2"	"37 weeks"	"37"	25
	"50 years and over"	"50+"	"Twin"	"2"	"38 weeks"	"38"	13
	"50 years and over"	"50+"	"Twin"	"2"	"39 weeks"	"39"	6
	"50 years and over"	"50+"	"Twin"	"2"	"40 weeks"	"40"	4
	"50 years and over"	"50+"	"Twin"	"2"	"42 weeks"	"42"	2
	"50 years and over"	"50+"	"Twin"	"2"	"47 weeks"	"47"	2
	"50 years and over"	"50+"	"Triplet"	"3"	"30 weeks"	"30"	3
	"50 years and over"	"50+"	"Triplet"	"3"	"31 weeks"	"31"	6
